,2020,2015-2019,change,smoothed change
2020-07-25,10.297456976744186,10.55914331395349,0.024782913672882434,0.03955945317780196
2020-07-26,10.318061162988116,10.603495373514432,0.026918879149914865,0.039422159457800005
2020-07-27,10.338816680814942,10.647935101867573,0.029030832560053232,0.03930828892863069
2020-07-28,10.373205291145972,10.689709678277055,0.029608323954228855,0.039221108017795665
2020-07-29,10.415773756979528,10.72988516352034,0.029274442527002398,0.03916282928257805
2020-07-30,10.458342222813082,10.770060648763627,0.02894305205108849,0.03913468823290065
2020-07-31,10.500910688646638,10.810236134006914,0.028614124754148373,0.03913693098029148
2020-08-01,10.506932778947368,10.82761614736842,0.02961717187388402,0.03916878390534431
2020-08-02,10.48131172631579,10.833363515789474,0.0324969977201055,0.0392284427110321
2020-08-03,10.45569067368421,10.839110884210527,0.03537376954828009,0.03931317866289614
2020-08-04,10.430069621052631,10.844858252631578,0.03824749221395274,0.03941958934575721
2020-08-05,10.404448568421053,10.850605621052631,0.04111817056238154,0.03954387795202038
2020-08-06,10.392598385469222,10.861430272452068,0.043164838812430495,0.03968213010391685
2020-08-07,10.40572635569474,10.886112246579858,0.04412832423586688,0.039830574901059144
2020-08-08,10.429345937036427,10.91953898137465,0.04489136814057271,0.03998577152401418
2020-08-09,10.452965518378111,10.952965716169441,0.045649754664455755,0.040144705517696305
2020-08-10,10.476585099719795,10.986392450964232,0.046403526318568145,0.04030485289581596
2020-08-11,10.50020468106148,11.019819185759024,0.04715272509816182,0.04046424013490697
2020-08-12,10.523824262403163,11.053245920553815,0.04789739249048797,0.04062150357628622
2020-08-13,10.547371928982725,11.07616828214971,0.04774181284507839,0.04077594843652795
2020-08-14,10.569420873320537,11.064244097888675,0.04472273208999089,0.04092759263522728
2020-08-15,10.59146981765835,11.052319913627638,0.04169713685187981,0.04107710306497663
2020-08-16,10.613518761996161,11.040395729366601,0.03866500602283485,0.04122552609724987
2020-08-17,10.635567706333974,11.028471545105566,0.03562631840365604,0.04137397002228831
2020-08-18,10.670966919191919,11.030972853535355,0.032635918800947517,0.04152328694307886
2020-08-19,10.717813869537682,11.038731792273591,0.029071992034495397,0.041673754930293794
2020-08-20,10.781018429385687,11.053931285623813,0.02468921229798693,0.041824753649980145
2020-08-21,10.844222989233693,11.069130778974035,0.02031846892328326,0.041974388808104404
2020-08-22,10.891806637168141,11.08554557522124,0.017476716571004802,0.042119052608479673
2020-08-23,10.881661308411216,11.108422056074765,0.02041340763961541,0.0422529970149464
2020-08-24,10.850228286604361,11.136646355140186,0.025718520585295224,0.04236810600698954
2020-08-25,10.818795264797508,11.164870654205608,0.030996811349331632,0.042454119178339786
2020-08-26,10.783911616650533,11.195358567279767,0.036751565227374994,0.04249911103557059
2020-08-27,10.726496808510639,11.237920212765959,0.0455087235513878,0.042490018865491155
2020-08-28,10.660752127659574,11.26287462006079,0.0534608181936741,0.04241325608941756
2020-08-29,10.595007446808511,11.287829027355622,0.061377752875959146,0.042255525738212535
2020-08-30,10.529262765957446,11.312783434650456,0.06925976027200587,0.042004636472969634
2020-08-31,10.504928795379538,11.313701567656766,0.07148613276041516,0.04165031033936354
2020-09-01,10.525985590851334,11.301893418043202,0.06865290606555796,0.04118490262213784
2020-09-02,10.570737814485387,11.28529875476493,0.06331785766662479,0.040603670003127174
2020-09-03,10.615490038119441,11.268704091486658,0.05796709613314899,0.039904576468624275
2020-09-04,10.660242261753496,11.252109428208387,0.05260055194371949,0.03908785935348721
2020-09-05,10.713846062789502,11.26819053010808,0.0491955177574781,0.03815556412270296
2020-09-06,10.771849150797737,11.300511682964489,0.04678217650654792,0.03711112226725443
2020-09-07,10.824197158322056,11.338929769959403,0.04539516709954805,0.03595908778306558
2020-09-08,10.862882101167314,11.358985766946548,0.04367499669053587,0.03470500076883435
2020-09-09,10.901403501945524,11.37874820806881,0.04195054652714747,0.03335534117336934
2020-09-10,10.939924902723735,11.39851064919107,0.0402320759773892,0.03191748755647819
2020-09-11,10.978446303501945,11.418273090313331,0.0385195539931964,0.030399679654181794
2020-09-12,11.017508007279345,11.436721656050954,0.0366550539026026,0.028810990176356275
